gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
001078,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ABBOTT LABORATORIES,ABT,002824100,0000001800,2834,325412
001300,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,3822,334512
001356,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALCOA INC,AA,013817200,0000004281,3350,331318
001356,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALCOA INC,AA,013817101,0000004281,3350,331318
001440,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN ELECTRIC POWER CO,AEP,025537200,0000004904,4911,2211
001440,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2211
001976,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BAKER HUGHES INC,BHI,057224107,0000808362,1381,213111
002285,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BOEING CO,BA,097023105,0000012927,3721,336411
002403,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BRISTOL-MYERS SQUIBB CO,BMY,110122207,0000014272,2834,325412
002403,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BRISTOL-MYERS SQUIBB CO,BMY,110122108,0000014272,2834,325412
002663,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CAMPBELL SOUP CO,CPB,134429109,0000016732,2030,311422
002817,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CATERPILLAR INC,CAT,149123101,0000018230,3531,333120
002991,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CHEVRON CORP,CVX,166764100,0000093410,2911,324110
003144,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COCA-COLA CO,KO,191216100,0000021344,2086,312111
003170,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COLGATE-PALMOLIVE CO,CL,194162103,0000021665,2844,325620
003413,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONSOLIDATED EDISON INC,ED,209115104,0001047862,4931,22111
003413,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONSOLIDATED EDISON INC,ED,209115203,0001047862,4931,22111
003532,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CORNING INC,GLW,219350105,0000024741,3679,334419
003835,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DEERE & CO,DE,244199105,0000315189,3523,333111
003897,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DTE ENERGY CO,DTE,233331107,0000936340,4931,2211
003897,01,000003,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DTE ENERGY CO,DTE,233331206,0000936340,4931,2211
