secid,date,days,forward_price,strike_price,premium,impl_volatility,delta,gamma,theta,vega,cp_flag,index_flag
107525,20120904,30,30.391778,30.391778,0.777424,0.223726,0.512793,0.204521,-4.765821,3.473697,C,0
107525,20120904,60,30.401845,30.401845,1.114528,0.226837,0.51834,0.142558,-3.435504,4.909883,C,0
107525,20120904,91,30.211426,30.211426,1.465443,0.23511,0.541718,0.115353,-2.996083,5.910012,C,0
107525,20120904,122,30.220814,30.220814,1.694655,0.240192,0.53661,0.097999,-2.661748,6.913554,C,0
107525,20120904,152,30.229686,30.229686,1.916096,0.245465,0.534538,0.085052,-2.416538,7.728377,C,0
107525,20120904,182,30.039517,30.039517,2.223559,0.254675,0.549491,0.075477,-2.311268,8.362189,C,0
107525,20120904,273,29.868563,29.868563,2.777921,0.261052,0.556899,0.059978,-1.937318,10.178493,C,0
107525,20120904,365,29.699499,29.699499,3.349171,0.274184,0.564102,0.049369,-1.762885,11.626392,C,0
107525,20120904,30,30.391778,30.391778,0.788971,0.226964,-0.487256,0.201753,-4.755279,3.473527,P,0
107525,20120904,60,30.401845,30.401845,1.13538,0.230916,-0.48178,0.140244,-3.398918,4.909469,P,0
107525,20120904,91,30.211426,30.211426,1.450413,0.241159,-0.473284,0.108194,-2.849126,6.002356,P,0
107525,20120904,122,30.220814,30.220814,1.724014,0.247556,-0.469023,0.091058,-2.519376,6.944279,P,0
107525,20120904,152,30.229686,30.229686,1.968601,0.253275,-0.465118,0.079718,-2.303448,7.74517,P,0
107525,20120904,182,30.039517,30.039517,2.217027,0.262522,-0.457429,0.069613,-2.157399,8.412064,P,0
107525,20120904,273,29.868563,29.868563,2.77179,0.269881,-0.445147,0.05478,-1.783687,10.20856,P,0
107525,20120904,365,29.699499,29.699499,3.387349,0.287396,-0.431815,0.04403,-1.619442,11.684941,P,0
107525,20120905,30,30.396912,30.396912,0.749397,0.215623,0.512329,0.212181,-4.596404,3.474396,C,0
107525,20120905,60,30.406983,30.406983,1.071926,0.218125,0.517636,0.148239,-3.306723,4.911082,C,0
107525,20120905,91,30.216506,30.216506,1.41062,0.226674,0.54092,0.120156,-2.903792,5.983796,C,0
107525,20120905,122,30.225818,30.225818,1.633748,0.231741,0.535327,0.101774,-2.575838,6.940609,C,0
107525,20120905,152,30.234688,30.234688,1.857927,0.237899,0.533843,0.087873,-2.347568,7.731059,C,0
107525,20120905,182,30.044524,30.044524,2.172806,0.248732,0.548889,0.077348,-2.261327,8.38072,C,0
107525,20120905,273,29.873574,29.873574,2.721472,0.255894,0.555917,0.061315,-1.904604,10.139929,C,0
107525,20120905,365,29.704524,29.704524,3.305821,0.270711,0.563614,0.050127,-1.746078,11.626365,C,0
107525,20120905,30,30.396912,30.396912,0.776052,0.223206,-0.487481,0.205126,-4.676024,3.474145,P,0
107525,20120905,60,30.406983,30.406983,1.110625,0.225835,-0.482206,0.14339,-3.323453,4.910479,P,0
107525,20120905,91,30.216506,30.216506,1.415368,0.235273,-0.473909,0.110911,-2.779296,6.003769,P,0
107525,20120905,122,30.225818,30.225818,1.679216,0.241064,-0.46979,0.093517,-2.452887,6.946358,P,0
107525,20120905,152,30.234688,30.234688,1.923168,0.247368,-0.465891,0.081626,-2.249357,7.747744,P,0
107525,20120905,182,30.044524,30.044524,2.177377,0.257748,-0.458138,0.07091,-2.118125,8.414629,P,0
107525,20120905,273,29.873574,29.873574,2.72867,0.26561,-0.445878,0.055664,-1.755306,10.213389,P,0
107525,20120905,365,29.704524,29.704524,3.350867,0.284188,-0.4325,0.044536,-1.601613,11.689228,P,0
107525,20120906,30,31.352346,31.352346,0.726326,0.202614,0.511586,0.218936,-4.458968,3.583778,C,0
107525,20120906,60,31.362852,31.362852,1.042384,0.205643,0.516627,0.152463,-3.21985,5.065963,C,0
107525,20120906,91,31.172764,31.172764,1.391446,0.216134,0.540723,0.12199,-2.855062,6.117748,C,0
107525,20120906,122,31.18264,31.18264,1.617453,0.22239,0.534332,0.10286,-2.553778,7.128015,C,0
107525,20120906,152,31.192045,31.192045,1.850561,0.229912,0.532075,0.088023,-2.339466,7.945191,C,0
107525,20120906,182,31.002382,31.002382,2.164266,0.240465,0.547118,0.077554,-2.257437,8.680858,C,0
107525,20120906,273,30.833297,30.833297,2.707017,0.246617,0.554521,0.061709,-1.897558,10.467374,C,0
