secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,ticker,index_flag
107525,20120904,30,-80,0.223716,32.13939,1.960106,0.034269,P,MSFT,0
107525,20120904,30,-75,0.217318,31.75456,1.637812,0.015907,P,MSFT,0
107525,20120904,30,-70,0.215151,31.44842,1.403259,0.011341,P,MSFT,0
107525,20120904,30,-65,0.216011,31.18303,1.221015,0.010916,P,MSFT,0
107525,20120904,30,-60,0.218876,30.93803,1.07158,0.0092,P,MSFT,0
107525,20120904,30,-55,0.222184,30.69694,0.938341,0.007715,P,MSFT,0
107525,20120904,30,-50,0.226293,30.45457,0.819245,0.008536,P,MSFT,0
107525,20120904,30,-45,0.228949,30.20605,0.703952,0.010655,P,MSFT,0
107525,20120904,30,-40,0.230595,29.95125,0.594734,0.013709,P,MSFT,0
107525,20120904,30,-35,0.235546,29.67739,0.501514,0.016859,P,MSFT,0
107525,20120904,30,-30,0.244861,29.36357,0.421029,0.017857,P,MSFT,0
107525,20120904,30,-25,0.255378,29.00408,0.344211,0.019738,P,MSFT,0
107525,20120904,30,-20,0.267864,28.57289,0.270216,0.027325,P,MSFT,0
107525,20120904,30,20,0.21471,32.068,0.202944,0.008311,C,MSFT,0
107525,20120904,30,25,0.212258,31.72407,0.267533,0.008998,C,MSFT,0
107525,20120904,30,30,0.21078,31.42799,0.338641,0.010418,C,MSFT,0
107525,20120904,30,35,0.211985,31.16908,0.420955,0.010614,C,MSFT,0
107525,20120904,30,40,0.215032,30.929,0.515448,0.008939,C,MSFT,0
107525,20120904,30,45,0.218465,30.69219,0.622065,0.00774,C,MSFT,0
107525,20120904,30,50,0.222989,30.45392,0.744973,0.008787,C,MSFT,0
107525,20120904,30,55,0.225899,30.20868,0.877492,0.01062,C,MSFT,0
107525,20120904,30,60,0.227247,29.95752,1.020092,0.013325,C,MSFT,0
107525,20120904,30,65,0.231429,29.68929,1.194861,0.016124,C,MSFT,0
107525,20120904,30,70,0.239789,29.38368,1.419945,0.016685,C,MSFT,0
107525,20120904,30,75,0.248945,29.03685,1.6899,0.016861,C,MSFT,0
107525,20120904,30,80,0.258564,28.63176,2.020145,0.020727,C,MSFT,0
107525,20120904,60,-80,0.220506,32.89591,2.788781,0.020928,P,MSFT,0
107525,20120904,60,-75,0.218601,32.39163,2.377824,0.008826,P,MSFT,0
107525,20120904,60,-70,0.218729,31.96729,2.058481,0.004578,P,MSFT,0
107525,20120904,60,-65,0.220196,31.58596,1.795707,0.004263,P,MSFT,0
107525,20120904,60,-60,0.222248,31.2254,1.567858,0.00468,P,MSFT,0
107525,20120904,60,-55,0.225082,30.8769,1.368988,0.005922,P,MSFT,0
107525,20120904,60,-50,0.229362,30.53001,1.195351,0.00667,P,MSFT,0
107525,20120904,60,-45,0.233678,30.1741,1.034262,0.006774,P,MSFT,0
107525,20120904,60,-40,0.238176,29.80298,0.884397,0.008176,P,MSFT,0
107525,20120904,60,-35,0.244289,29.4044,0.748715,0.010175,P,MSFT,0
