"","date","exdate","last_date","cp_flag","strike_price","best_bid","best_offer","volume","open_interest","impl_volatility","delta"
"7",20120904,20120907,20120904,"C",28000,2.35,2.39,414,38,NA,NA
"8",20120904,20120907,20120904,"C",29000,1.37,1.4,5137,268,NA,NA
"9",20120904,20120907,20120904,"C",30000,0.48,0.49,2863,1676,0.275677,0.737383
"10",20120904,20120907,20120904,"C",31000,0.04,0.05,10214,1969,0.259017,0.150393
"11",20120904,20120907,20120904,"C",32000,0,0.01,655,650,NA,NA
"24",20120904,20120907,20120904,"P",27000,0,0.02,15,0,NA,NA
"26",20120904,20120907,20120904,"P",29000,0.01,0.02,1401,6,NA,NA
"27",20120904,20120907,20120904,"P",30000,0.1,0.11,2475,735,0.282868,-0.267747
"28",20120904,20120907,20120904,"P",31000,0.66,0.67,3625,1294,0.268857,-0.840479
"29",20120904,20120907,20120904,"P",32000,1.62,1.64,1414,134,NA,NA
"30",20120904,20120907,20120831,"P",33000,2.61,2.65,0,1,NA,NA
"40",20120904,20120922,20120713,"C",18000,10.8,12.45,0,0,NA,NA
"42",20120904,20120922,20120821,"C",20000,10.3,10.4,0,906,NA,NA
"43",20120904,20120922,20120823,"C",21000,9.3,9.4,0,1253,NA,NA
"44",20120904,20120922,20120822,"C",22000,8.3,8.4,0,830,NA,NA
"45",20120904,20120922,20120904,"C",23000,7.35,7.4,100,174,NA,NA
"46",20120904,20120922,20120829,"C",24000,6.35,6.4,0,291,NA,NA
"47",20120904,20120922,20120904,"C",25000,5.35,5.4,554,287,NA,NA
"48",20120904,20120922,20120904,"C",26000,4.35,4.4,3,232,NA,NA
"49",20120904,20120922,20120904,"C",27000,3.35,3.45,104,714,NA,NA
"50",20120904,20120922,20120904,"C",28000,2.43,2.45,2794,5349,0.25946,0.931843
"51",20120904,20120922,20120904,"C",29000,1.51,1.52,5278,11782,0.223928,0.839243
"52",20120904,20120922,20120904,"C",30000,0.73,0.74,6365,27456,0.199312,0.625568
"53",20120904,20120922,20120904,"C",31000,0.24,0.26,5120,42211,0.188176,0.319027
