yyyymmdd,Strike,impliedVol,Spot,Dividend
20130518,1435,19.835,1555.25,3.007
20130518,1440,19.512,1555.25,3.007
20130518,1445,19.187,1555.25,3.007
20130518,1450,18.861,1555.25,3.007
20130518,1455,18.534,1555.25,3.007
20130518,1460,18.207,1555.25,3.007
20130518,1465,17.879,1555.25,3.007
20130518,1470,17.55,1555.25,3.007
20130518,1475,17.222,1555.25,3.007
20130518,1480,16.894,1555.25,3.007
20130518,1485,16.566,1555.25,3.007
20130518,1490,16.238,1555.25,3.007
20130518,1495,15.911,1555.25,3.007
20130518,1500,15.586,1555.25,3.007
20130518,1505,15.262,1555.25,3.007
20130518,1510,14.939,1555.25,3.007
20130518,1515,14.619,1555.25,3.007
20130518,1520,14.301,1555.25,3.007
20130518,1525,13.987,1555.25,3.007
20130518,1530,13.676,1555.25,3.007
20130518,1535,13.37,1555.25,3.007
20130518,1540,13.069,1555.25,3.007
20130518,1545,12.775,1555.25,3.007
20130518,1550,12.488,1555.25,3.007
20130518,1555,12.21,1555.25,3.007
20130518,1560,11.941,1555.25,3.007
20130518,1565,11.684,1555.25,3.007
20130518,1570,11.44,1555.25,3.007
20130518,1575,11.211,1555.25,3.007
20130518,1580,10.997,1555.25,3.007
20130518,1585,10.802,1555.25,3.007
20130518,1590,10.627,1555.25,3.007
20130518,1595,10.475,1555.25,3.007
20130518,1600,10.346,1555.25,3.007
20130518,1605,10.242,1555.25,3.007
20130518,1610,10.166,1555.25,3.007
20130518,1615,10.119,1555.25,3.007
20130518,1620,10.102,1555.25,3.007
20130518,1625,10.115,1555.25,3.007
20130518,1630,10.159,1555.25,3.007
20130518,1635,10.235,1555.25,3.007
20130518,1640,10.342,1555.25,3.007
20130518,1645,10.478,1555.25,3.007
20130518,1650,10.644,1555.25,3.007
20130518,1655,10.838,1555.25,3.007
20130518,1660,11.059,1555.25,3.007
20130518,1665,11.304,1555.25,3.007
20130518,1670,11.571,1555.25,3.007
20130518,1675,11.86,1555.25,3.007
20130518,1680,12.167,1555.25,3.007
20130622,1435,18.431,1555.25,2.364
20130622,1440,18.203,1555.25,2.364
20130622,1445,17.976,1555.25,2.364
20130622,1450,17.749,1555.25,2.364
20130622,1455,17.522,1555.25,2.364
20130622,1460,17.296,1555.25,2.364
20130622,1465,17.071,1555.25,2.364
20130622,1470,16.846,1555.25,2.364
20130622,1475,16.622,1555.25,2.364
20130622,1480,16.398,1555.25,2.364
20130622,1485,16.175,1555.25,2.364
20130622,1490,15.954,1555.25,2.364
20130622,1495,15.733,1555.25,2.364
20130622,1500,15.513,1555.25,2.364
20130622,1505,15.295,1555.25,2.364
20130622,1510,15.078,1555.25,2.364
20130622,1515,14.862,1555.25,2.364
20130622,1520,14.648,1555.25,2.364
20130622,1525,14.435,1555.25,2.364
20130622,1530,14.225,1555.25,2.364
20130622,1535,14.016,1555.25,2.364
20130622,1540,13.81,1555.25,2.364
20130622,1545,13.606,1555.25,2.364
20130622,1550,13.405,1555.25,2.364
20130622,1555,13.206,1555.25,2.364
20130622,1560,13.011,1555.25,2.364
20130622,1565,12.818,1555.25,2.364
20130622,1570,12.629,1555.25,2.364
20130622,1575,12.444,1555.25,2.364
20130622,1580,12.263,1555.25,2.364
20130622,1585,12.086,1555.25,2.364
20130622,1590,11.914,1555.25,2.364
20130622,1595,11.746,1555.25,2.364
20130622,1600,11.584,1555.25,2.364
20130622,1605,11.427,1555.25,2.364
20130622,1610,11.276,1555.25,2.364
20130622,1615,11.131,1555.25,2.364
20130622,1620,10.993,1555.25,2.364
20130622,1625,10.862,1555.25,2.364
20130622,1630,10.738,1555.25,2.364
20130622,1635,10.622,1555.25,2.364
20130622,1640,10.514,1555.25,2.364
20130622,1645,10.415,1555.25,2.364
20130622,1650,10.324,1555.25,2.364
20130622,1655,10.243,1555.25,2.364
20130622,1660,10.171,1555.25,2.364
20130622,1665,10.109,1555.25,2.364
20130622,1670,10.057,1555.25,2.364
20130622,1675,10.016,1555.25,2.364
20130622,1680,9.986,1555.25,2.364
20130720,1375,20.355,1555.25,2.266
20130720,1380,20.158,1555.25,2.266
20130720,1390,19.763,1555.25,2.266
20130720,1400,19.37,1555.25,2.266
20130720,1410,18.977,1555.25,2.266
20130720,1420,18.586,1555.25,2.266
20130720,1425,18.391,1555.25,2.266
20130720,1430,18.196,1555.25,2.266
20130720,1440,17.807,1555.25,2.266
20130720,1450,17.42,1555.25,2.266
20130720,1460,17.035,1555.25,2.266
20130720,1470,16.652,1555.25,2.266
20130720,1475,16.462,1555.25,2.266
20130720,1480,16.272,1555.25,2.266
20130720,1490,15.895,1555.25,2.266
20130720,1500,15.521,1555.25,2.266
20130720,1510,15.151,1555.25,2.266
20130720,1520,14.787,1555.25,2.266
20130720,1525,14.606,1555.25,2.266
20130720,1530,14.428,1555.25,2.266
20130720,1540,14.075,1555.25,2.266
20130720,1550,13.73,1555.25,2.266
20130720,1560,13.393,1555.25,2.266
20130720,1570,13.066,1555.25,2.266
20130720,1575,12.906,1555.25,2.266
20130720,1580,12.75,1555.25,2.266
20130720,1590,12.446,1555.25,2.266
20130720,1600,12.156,1555.25,2.266
20130720,1610,11.882,1555.25,2.266
20130720,1615,11.751,1555.25,2.266
20130720,1620,11.625,1555.25,2.266
20130720,1625,11.504,1555.25,2.266
20130720,1630,11.387,1555.25,2.266
20130720,1635,11.276,1555.25,2.266
20130720,1640,11.171,1555.25,2.266
20130720,1645,11.071,1555.25,2.266
20130720,1650,10.976,1555.25,2.266
20130720,1655,10.888,1555.25,2.266
20130720,1660,10.807,1555.25,2.266
20130720,1665,10.732,1555.25,2.266
20130720,1670,10.663,1555.25,2.266
20130720,1675,10.602,1555.25,2.266
20130720,1680,10.547,1555.25,2.266
20130720,1690,10.461,1555.25,2.266
20130720,1700,10.405,1555.25,2.266
20130720,1710,10.38,1555.25,2.266
20130720,1720,10.387,1555.25,2.266
20130720,1725,10.403,1555.25,2.266
20130720,1730,10.426,1555.25,2.266
20130720,1740,10.498,1555.25,2.266
20130921,925,33.644,1555.25,2.297
20130921,950,32.789,1555.25,2.297
20130921,975,31.971,1555.25,2.297
20130921,1000,31.179,1555.25,2.297
20130921,1025,30.403,1555.25,2.297
20130921,1050,29.636,1555.25,2.297
20130921,1075,28.877,1555.25,2.297
20130921,1100,28.12,1555.25,2.297
20130921,1125,27.366,1555.25,2.297
20130921,1150,26.613,1555.25,2.297
