secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
106276,20130801,30,-80,0.177946,203.8343,10.00574,0.070877,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-75,0.153642,201.0522,7.395008,0.029051,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-70,0.149523,199.5796,6.224293,0.009536,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-65,0.149615,198.3869,5.398953,0.003891,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-60,0.152354,197.3068,4.760573,0.003652,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-55,0.154512,196.2249,4.164177,0.002308,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-50,0.155003,195.1317,3.579297,0.001784,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-45,0.15557,194.0383,3.050584,0.002681,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-40,0.158259,192.9019,2.604379,0.004715,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-35,0.162763,191.6626,2.211774,0.004439,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-30,0.165151,190.3586,1.812185,0.004417,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-25,0.168006,188.9112,1.44285,0.007839,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,-20,0.174641,187.1121,1.122041,0.015039,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,20,0.138077,201.6279,0.849833,0.006723,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,25,0.13841,200.3137,1.136133,0.002499,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,30,0.13873,199.1462,1.44874,0.001455,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,35,0.139728,198.0786,1.801831,0.002621,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,40,0.143203,197.1177,2.222605,0.003417,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,45,0.145108,196.1626,2.657223,0.00202,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,50,0.145325,195.1991,3.103683,0.001666,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,55,0.145328,194.2921,3.568129,0.001823,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,60,0.145675,193.3788,4.084808,0.002497,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,65,0.147987,192.501,4.678946,0.004486,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,70,0.150794,191.4939,5.388112,0.010526,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,75,0.153802,190.4735,6.1756,0.026783,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,30,80,0.167581,188.8312,7.63913,0.062181,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-80,0.176686,207.7361,14.28624,0.072006,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-75,0.16034,204.2191,11.09229,0.030767,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-70,0.157978,202.1063,9.446356,0.014659,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-65,0.159107,200.3463,8.244758,0.01278,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-60,0.161839,198.7102,7.258841,0.012795,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-55,0.163852,197.0774,6.336042,0.012734,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-50,0.164987,195.4383,5.464173,0.013391,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-45,0.167533,193.7868,4.711915,0.014468,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-40,0.171676,192.0497,4.051986,0.015127,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-35,0.174915,190.2105,3.40744,0.015738,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-30,0.178139,188.2291,2.80132,0.017307,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-25,0.183553,185.9508,2.259194,0.019588,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,-20,0.191223,183.2123,1.760446,0.024241,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,20,0.148274,205.3854,1.278693,0.014047,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,60,25,0.14915,203.3807,1.71576,0.012373,C,45920010,IBM,3571,0,1,,0,824
