secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
108105,20130801,30,-80,0.114905,1753.366,55.25296,0.011736,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-75,0.112719,1742.913,46.71315,0.005671,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-70,0.113209,1734.582,40.65171,0.003306,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-65,0.114964,1727.112,35.82071,0.003422,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-60,0.117315,1719.931,31.67046,0.003799,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-55,0.119971,1712.756,27.9516,0.004054,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-50,0.122837,1705.406,24.54345,0.004309,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-45,0.125934,1697.732,21.3874,0.004654,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-40,0.129333,1689.558,18.44344,0.005136,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-35,0.133141,1680.667,15.68507,0.00583,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-30,0.137554,1670.736,13.09309,0.00698,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-25,0.142996,1659.228,10.6611,0.009236,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,-20,0.15028,1645.145,8.384869,0.01348,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,20,0.102261,1747.482,5.512267,0.002763,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,25,0.10395,1739.526,7.479388,0.002911,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,30,0.105972,1732.311,9.722639,0.003165,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,35,0.108187,1725.454,12.26818,0.003406,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,40,0.110561,1718.728,15.15436,0.003633,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,45,0.113073,1711.968,18.42811,0.003844,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,50,0.115717,1705.037,22.15013,0.004088,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,55,0.118524,1697.802,26.40509,0.004394,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,60,0.121528,1690.112,31.30638,0.004747,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,65,0.124746,1681.791,37.00133,0.005132,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,70,0.128187,1672.609,43.69593,0.005555,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,75,0.131808,1662.266,51.67094,0.005966,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,30,80,0.13537,1650.383,61.28355,0.006149,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-80,0.10881,1768.557,74.89352,0.005295,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-75,0.110289,1756.197,65.42287,0.00364,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-70,0.112605,1745.301,57.86562,0.003835,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-65,0.115302,1735.013,51.39731,0.004212,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-60,0.118196,1724.905,45.63604,0.004581,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-55,0.121363,1714.73,40.43095,0.005066,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-50,0.124965,1704.256,35.69818,0.005653,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-45,0.128961,1693.213,31.31008,0.006182,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-40,0.133166,1681.351,27.14569,0.006665,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-35,0.137632,1668.397,23.17472,0.007351,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-30,0.142699,1653.893,19.41185,0.008576,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-25,0.148926,1637.035,15.86742,0.011183,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,-20,0.157263,1616.322,12.53999,0.017023,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,20,0.105564,1765.544,8.000419,0.004064,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,25,0.108076,1754.219,10.92724,0.004501,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,30,0.111006,1743.872,14.30285,0.004897,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,35,0.114096,1733.897,18.15931,0.005112,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,40,0.117164,1723.955,22.52625,0.005275,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,45,0.120345,1713.877,27.494,0.005642,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,50,0.123908,1703.479,33.22372,0.006231,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,55,0.127847,1692.504,39.86327,0.006772,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,60,0.131917,1680.718,47.51938,0.007167,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,65,0.13608,1667.885,56.38887,0.007632,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,70,0.14053,1653.636,66.85349,0.008307,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,75,0.145317,1637.456,79.40812,0.009042,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,60,80,0.150057,1618.781,94.57069,0.009443,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-80,0.110755,1784.259,95.04327,0.004742,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-75,0.113716,1769.527,84.07347,0.004951,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-70,0.116789,1755.925,74.77227,0.005102,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,91,-65,0.119839,1742.806,66.52765,0.005261,P,64881510,SPX,9999,1,32768,,A,
